run       : eixo1_densenet121_s0
arch      : densenet121 (pretrained=True)  seed=0
manifesto : v2 ed5c1eb749ec9e72...  mask=None
fit/val/test: 175,591 / 19,511 / 83,613 imgs  (11,805 / 2,268 / 6,044 sujeitos)
batch 96 | steps/epoch 1,829 | epochs 30 | warmup 2 ep | early stop patience off
val 1/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 1/30: train 0.2387/0.9373 | val loss 0.0329 acc 0.9901 f1 0.9901 err 0.9892% * | 217s 811 img/s
val 2/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 2/30: train 0.0344/0.9900 | val loss 0.0321 acc 0.9909 f1 0.9909 err 0.9123% * | 203s 864 img/s
val 3/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 3/30: train 0.0250/0.9926 | val loss 0.0260 acc 0.9931 f1 0.9931 err 0.6919% * | 205s 857 img/s
val 4/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 4/30: train 0.0180/0.9947 | val loss 0.0197 acc 0.9943 f1 0.9943 err 0.5740% * | 209s 842 img/s
val 5/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 5/30: train 0.0147/0.9958 | val loss 0.0192 acc 0.9953 f1 0.9953 err 0.4664% * | 208s 843 img/s
val 6/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 6/30: train 0.0124/0.9962 | val loss 0.0211 acc 0.9945 f1 0.9945 err 0.5484%  | 209s 838 img/s
val 7/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 7/30: train 0.0119/0.9965 | val loss 0.0180 acc 0.9950 f1 0.9950 err 0.5023%  | 209s 842 img/s
val 8/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 8/30: train 0.0114/0.9967 | val loss 0.0176 acc 0.9957 f1 0.9957 err 0.4305% * | 209s 841 img/s
val 9/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 9/30: train 0.0096/0.9972 | val loss 0.0213 acc 0.9945 f1 0.9945 err 0.5484%  | 205s 858 img/s
val 10/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 10/30: train 0.0083/0.9978 | val loss 0.0150 acc 0.9959 f1 0.9959 err 0.4100% * | 204s 860 img/s
val 11/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 11/30: train 0.0083/0.9976 | val loss 0.0222 acc 0.9941 f1 0.9940 err 0.5945%  | 200s 876 img/s
val 12/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 12/30: train 0.0083/0.9977 | val loss 0.0162 acc 0.9956 f1 0.9957 err 0.4357%  | 198s 886 img/s
val 13/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 13/30: train 0.0077/0.9979 | val loss 0.0163 acc 0.9953 f1 0.9953 err 0.4715%  | 198s 885 img/s
val 14/30:   0%|          | 0/102 [00:00<?, ?it/s]
