poda global por magnitude: alvo 50.00% -> obtida 50.0000% dos pesos podáveis (3.54 M não-nulos de 6.97 M)
run       : eixo2b_prunefirst_densenet121_p50_s0
arch      : densenet121 (pretrained=True)  seed=0
manifesto : v2 ed5c1eb749ec9e72...  mask=None
fit/val/test: 175,591 / 19,511 / 83,613 imgs  (11,805 / 2,268 / 6,044 sujeitos)
batch 96 | steps/epoch 1,829 | epochs 30 | warmup 2 ep | early stop patience off
val 1/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 1/30: train 0.2589/0.9311 | val loss 0.0378 acc 0.9891 f1 0.9892 err 1.0866% * | 210s 835 img/s
val 2/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 2/30: train 0.0319/0.9905 | val loss 0.0274 acc 0.9931 f1 0.9931 err 0.6919% * | 198s 885 img/s
val 3/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 3/30: train 0.0227/0.9935 | val loss 0.0212 acc 0.9934 f1 0.9934 err 0.6560% * | 198s 885 img/s
val 4/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 4/30: train 0.0166/0.9951 | val loss 0.0300 acc 0.9920 f1 0.9920 err 0.7995%  | 199s 884 img/s
val 5/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 5/30: train 0.0145/0.9958 | val loss 0.0194 acc 0.9944 f1 0.9944 err 0.5587% * | 198s 886 img/s
val 6/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 6/30: train 0.0112/0.9967 | val loss 0.0224 acc 0.9929 f1 0.9929 err 0.7073%  | 198s 885 img/s
val 7/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 7/30: train 0.0108/0.9969 | val loss 0.0189 acc 0.9949 f1 0.9948 err 0.5125% * | 198s 885 img/s
val 8/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 8/30: train 0.0101/0.9972 | val loss 0.0169 acc 0.9960 f1 0.9960 err 0.4049% * | 198s 885 img/s
val 9/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 9/30: train 0.0093/0.9974 | val loss 0.0202 acc 0.9946 f1 0.9946 err 0.5433%  | 199s 884 img/s
val 10/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 10/30: train 0.0092/0.9975 | val loss 0.0202 acc 0.9944 f1 0.9944 err 0.5587%  | 198s 886 img/s
val 11/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 11/30: train 0.0077/0.9979 | val loss 0.0189 acc 0.9943 f1 0.9943 err 0.5740%  | 199s 885 img/s
val 12/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 12/30: train 0.0073/0.9981 | val loss 0.0150 acc 0.9957 f1 0.9957 err 0.4305%  | 198s 885 img/s
val 13/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 13/30: train 0.0068/0.9982 | val loss 0.0144 acc 0.9961 f1 0.9961 err 0.3946% * | 198s 885 img/s
val 14/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 14/30: train 0.0055/0.9986 | val loss 0.0151 acc 0.9962 f1 0.9962 err 0.3793% * | 198s 885 img/s
val 15/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 15/30: train 0.0060/0.9983 | val loss 0.0123 acc 0.9966 f1 0.9966 err 0.3383% * | 198s 885 img/s
val 16/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 16/30: train 0.0049/0.9988 | val loss 0.0141 acc 0.9963 f1 0.9963 err 0.3741%  | 198s 885 img/s
val 17/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 17/30: train 0.0040/0.9990 | val loss 0.0154 acc 0.9960 f1 0.9960 err 0.3998%  | 198s 885 img/s
val 18/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 18/30: train 0.0030/0.9992 | val loss 0.0131 acc 0.9970 f1 0.9970 err 0.2973% * | 199s 885 img/s
val 19/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 19/30: train 0.0021/0.9995 | val loss 0.0136 acc 0.9965 f1 0.9965 err 0.3536%  | 198s 886 img/s
val 20/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 20/30: train 0.0021/0.9995 | val loss 0.0126 acc 0.9966 f1 0.9966 err 0.3383%  | 199s 884 img/s
